,cover_image,album_release_date,artist,album,album_id,total_tracks
0,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e0289aff4625958eac8d16535c7"")",2022-02-11,Ed Sheeran,The Joker And The Queen (feat. Taylor Swift),0vkAczpFKCazPKaoLtnBr0,1
1,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e028c10ac7c3a733632833c3d88"")",2022-02-11,Nicki Minaj,Bussin,5cs7xv0RHTRhw9S7vw529n,1
2,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e021104aee3d941217179b9a4fb"")",2022-02-11,Doja Cat,Celebrity Skin,2y8KeBe1RXU46rnl4lpzHl,1
3,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02f29da156d844f400726fb2cc"")",2022-02-10,Saweetie,Closer (feat. H.E.R.),5IZ3qMtXKXAleWBxB7vWen,1
4,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e0272babf690675fe969470e8ee"")",2022-02-11,Becky G,MAMIII,6GHUywBU0u92lg0Dhrt40R,1
5,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02cc360c76a57091ae80f4a5c2"")",2022-02-10,Central Cee,Khabib,3v6aq6iIqFXgAubGncj9Ce,4
6,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e021bf7d80f4a7bf4ed02da9fad"")",2022-02-09,Caroline Polachek,Billions,4DpAPqdJ1jVhoWZrxWLRH5,2
7,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e021265910eee79b4764d7891f5"")",2022-02-08,Pusha T,Diet Coke,6AmzYhYXSHDndclYdVsKeF,1
8,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e024ce20a4a1a139f5aaadef3d6"")",2022-02-11,Dustin Lynch,Blue In The Sky,7a7203P5zJNwU8ASjhbIzz,12
9,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02a06bd2feea2f05f71c19b5ac"")",2022-02-09,Omar Apollo,Invincible (feat. Daniel Caesar),31BVN37zvcirLlth8tlKHh,1
10,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e025f0f50ccd884ced35581395b"")",2022-02-11,Eddie Vedder,Earthling,47mMVL72wEPG0li4VTtHzM,13
11,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e020ce9712e9a7b3faa67a6b96b"")",2022-02-08,mxmtoon,mona lisa,3wVcBPUDJrmInLD0G1W1r2,1
12,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e0273fb3311d49d1d60ef179bbd"")",2022-01-21,Mary J. Blige,Rent Money (feat. Dave East),2e6qv6myguUFVoLfsjHZ1w,1
13,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e0275fc684cddb4001eb2b5431f"")",2022-02-11,Mary J. Blige,Good Morning Gorgeous,3nsB4o3510eSLWoFdE6wqA,13
14,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02d222f2409ee3d81fab57c916"")",2022-02-09,Portugal. The Man,"What, Me Worry?",6S5j1iJ4B4jknYDr4xOXcA,1
15,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02d432e58178eb265493086f7d"")",2022-02-11,alt-J,The Dream,5ogYKSRRlVAgMzv09HFeIn,12
16,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e029bf2cdf4104cf7328d856209"")",2022-02-11,Diplo,Don't Forget My Love,1vtsrwjdXkuAmojBCw2mtv,1
17,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e0260c5844754898232b7e52718"")",2022-02-11,Big Thief,Dragon New Warm Mountain I Believe In You,7Ln81p86r5cCsesd3KBWIY,20
18,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02da553393e04d51c2bf32715b"")",2022-02-11,Raveena,Asha’s Awakening,2q0yeivzk1b2UUdtHf8mcC,15
19,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e022734d12e3aa8f4b88ab85412"")",2022-02-11,Orville Peck,Bronco: Chapter 1,5lGeIKePKFplfWbgfTBA8e,4
20,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e0256fccede4147dedf2e700aaf"")",2022-02-09,Fana Hues,wild horses,7k4dnCbTDEXY74f3Z1UXpI,1
21,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e027def9df536db7a803727c509"")",2022-02-11,Internet Money,Options (feat. 24kGoldn),1EZE4ij3YcQUNNG3y1AduM,1
22,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02cefbe371e94bc9810966023b"")",2022-02-11,Priscilla Block,Welcome To The Block Party,0dNsg2k0JVBXDjAyASks9p,12
23,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e0233094cbcc8fbdcb361914ae9"")",2022-02-11,Kim Petras,Slut Pop,4rs52z8T5zPbsa5HM75tua,7
