,popularity_index,album_release_date,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
44,65,2/4/2022,Fresco Trey,Need You,Need You,5FkBoG7xkb0pPkaO8rS5td,0.718,0.596,11,-8.195,0,0.053,0,0.0796,0.475,87.977,173066,4
22,68,2/7/2022,Rauw Alejandro,Caprichoso,Caprichoso,1sJCxmtHVDHjgwXwdHYFWn,0.747,0.722,11,-5.065,0,0.055,0,0.137,0.318,125.96,167619,4
25,47,2/7/2022,alt-J,The Actor,The Actor,2TyHTGdwx7uOdxsq1e8DEt,0.625,0.604,2,-8.33,1,0.0375,0.0941,0.0607,0.624,147.987,240893,4
57,49,2/7/2022,Bree Runway,Pressure,Pressure,0MOFpFNTB8immc0cXindTo,0.964,0.599,1,-4.375,0,0.281,0,0.225,0.516,119.025,156738,4
63,33,2/7/2022,Barrie,Jenny,Jenny,2elR3YPD59tkJYEkHP8IOa,0.615,0.524,9,-7.556,1,0.025,0.0947,0.124,0.394,112.04,220573,4
0,65,2/8/2022,Pusha T,Diet Coke,Diet Coke,3BMG9dnjNymT1OGUXQTAXl,0.69,0.949,10,-3.13,0,0.379,0,0.0429,0.757,163.954,179534,4
4,62,2/8/2022,ODESZA,The Last Goodbye (feat. Bettye LaVette),The Last Goodbye (feat. Bettye LaVette),4XeIiGpUBshIfs9yrBDVZC,0.633,0.92,9,-2.812,1,0.0928,0.00177,0.123,0.154,114.997,359126,4
6,59,2/8/2022,Kodak Black,Grinding All Season,Grinding All Season,1p2AbhtzG2Njx2x0JB83zA,0.759,0.596,5,-6.88,0,0.339,0,0.319,0.657,146.087,170959,4
39,56,2/8/2022,mxmtoon,mona lisa,mona lisa,5O7TgofxqSQh31TiRcKXzo,0.701,0.666,2,-6.134,1,0.0328,0.000828,0.19,0.734,112.003,190053,4
61,43,2/8/2022,Orion Sun,dirty dancer,dirty dancer,1ciQU7ZQGHq129m3njp9en,0.702,0.525,7,-5.028,0,0.0313,0.0667,0.119,0.515,113.856,169720,4
62,49,2/8/2022,Sharon Van Etten,Porta,Porta,6zfI5bLVFhDzYUBHmMA7ni,0.564,0.598,7,-8.374,1,0.0468,0.19,0.083,0.372,120.171,206960,4
77,35,2/8/2022,Johan Lenox,I'm a Mess,I'm a Mess,1cfoP2ZOuwM5mcFUsZ1UH9,0.366,0.904,8,-3.235,1,0.349,4.02E-06,0.205,0.388,171.363,136744,4
88,38,2/8/2022,Spoon,My Babe,My Babe,3fmDuSEWyv5g13VeBb1maE,0.703,0.461,2,-6.283,1,0.0329,0.000129,0.105,0.436,95.045,227268,4
7,49,2/9/2022,Omar Apollo,Invincible (feat. Daniel Caesar),Invincible (feat. Daniel Caesar),4Qy41cZBMKnm8OIAeTQRBH,0.762,0.475,6,-11.777,0,0.0595,0.00642,0.149,0.329,134.965,216161,4
14,46,2/9/2022,Caroline Polachek,Billions,Billions,4gsdYgnktO0jmKEVoL8kfm,0.589,0.61,5,-9.663,1,0.0921,0.000261,0.374,0.348,139.941,296555,4
19,12,2/9/2022,Matilda Cole,Again,Again,2gbRN3a575oCrxMPoLNyu2,0.509,0.526,1,-6.89,1,0.0794,0,0.441,0.583,175.983,144133,4
29,29,2/9/2022,Cautious Clay,25/8,25/8,7rWMxeDdadl299Jb7VrX5k,0.562,0.348,1,-11.016,1,0.0389,0.00366,0.33,0.288,160.019,158067,4
