,popularity_index,album_release_date,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0,2022-02-11,Ed Sheeran,The Joker And The Queen (feat. Taylor Swift),The Joker And The Queen (feat. Taylor Swift),6N1K5OVVCopBjGViHs2IvP,0.528,0.309,0,-7.398,1,0.0329,2.1e-06,0.282,0.307,133.83,185422,4
1,94,2021-09-17,Lil Nas X,MONTERO,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.0,0.0486,0.546,87.981,143901,4
2,96,2021-07-09,The Kid LAROI,STAY (with Justin Bieber),STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,1,-5.484,1,0.0483,0.0,0.103,0.478,169.928,141806,4
3,90,2020-08-07,Glass Animals,Dreamland,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,11,-6.9,1,0.0944,6.7e-06,0.0921,0.531,80.87,238805,4
4,100,2021-08-13,GAYLE,abcdefu,abcdefu,4fouWK6XVHhzl78KzQ1UjL,0.695,0.54,4,-5.692,1,0.0493,0.0,0.367,0.415,121.932,168602,4
5,36,2021-09-10,Ed Sheeran,Shivers,Shivers,6bQfNiqyCX7UaQSvVVGo4I,0.788,0.859,2,-2.724,1,0.0856,0.0,0.0424,0.822,141.02,207853,4
6,95,2017-06-23,Jaymes Young,Feel Something,Infinity,1SOClUWhOi8vHZYMz3GluK,0.671,0.673,11,-6.941,0,0.0444,5.29e-05,0.304,0.494,121.963,237720,4
7,86,2021-03-19,Justin Bieber,Justice,Ghost,5dPz35akJjPqb17yeqNwqH,0.604,0.741,2,-5.571,1,0.0475,3.49e-05,0.409,0.473,153.947,153190,4
8,96,2021-10-14,Adele,Easy On Me,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,5,-7.519,1,0.0282,0.0,0.133,0.13,141.981,224695,4
9,98,2021-10-28,Imagine Dragons,Enemy (with JID) [from the series Arcane League of Legends],Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,0.728,0.783,11,-4.424,0,0.266,0.0,0.434,0.555,77.011,173381,4
10,96,2021-08-13,Elton John,Cold Heart (PNAU Remix),Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1,-6.312,1,0.0317,4.19e-05,0.0952,0.942,116.032,202735,4
11,91,2022-01-20,Charlie Puth,Light Switch,Light Switch,1BSMpVGWs3v5BZKnAQziAc,0.69,0.626,6,-5.693,1,0.306,0.000335,0.0881,0.912,184.009,185681,4
12,95,2021-07-23,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,0.736,0.704,3,-7.409,0,0.0615,0.0,0.0501,0.894,149.995,212000,4
13,85,2022-01-07,Gunna,DS4EVER,pushin P (feat. Young Thug),3LnpBazWpD31QMTn6LgVGv,0.773,0.422,1,-4.572,0,0.187,0.00693,0.129,0.488,77.502,136267,1
14,93,2019-08-30,CKay,CKay The First,love nwantiti (ah ah ah),2Xr1dTzJee307rmrkt8c0g,0.727,0.739,8,-3.805,1,0.0411,0.00137,0.161,0.533,93.005,145800,4
15,95,2021-06-25,Doja Cat,Planet Her,Woman,6Uj1ctrBOjOas8xZXGqKk4,0.824,0.764,5,-4.175,0,0.0854,0.00294,0.117,0.881,107.998,172627,4
16,93,2021-11-19,Adele,30,Oh My God,3Kkjo3cT83cw09VJyrLNwX,0.534,0.725,1,-3.906,1,0.046,0.0,0.0264,0.55,88.098,225149,4
17,92,2022-01-05,Lauren Spencer-Smith,Fingers Crossed,Fingers Crossed,5S9Zs5g9lTWnLIboN1pdlU,0.603,0.473,5,-7.23,1,0.0511,0.0,0.31,0.446,109.494,175345,4
18,68,2021-06-25,Ed Sheeran,Bad Habits,Bad Habits,6PQ88X9TkUIAUIZJHW2upE,0.808,0.897,11,-3.712,0,0.0348,3.14e-05,0.364,0.591,126.026,231041,4
19,94,2021-07-30,Lost Frequencies,Where Are You Now,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,0.671,0.636,6,-8.117,0,0.103,0.000411,0.172,0.262,120.966,148197,4
20,92,2021-09-24,Coldplay,My Universe,My Universe,3FeVmId7tL5YN8B7R3imoM,0.588,0.701,9,-6.39,1,0.0402,0.0,0.2,0.443,104.988,228000,4
21,83,2022-02-04,Tate McRae,she's all i wanna be,she's all i wanna be,0IuVhCflrQPMGRrOyoY5RW,0.614,0.644,2,-5.372,0,0.0426,7.07e-06,0.117,0.651,160.036,206772,4
22,85,2021-11-06,Jnr Choi,TO THE MOON,TO THE MOON,5vUnjhBzRJJIAOJPde6zDx,0.745,0.65,2,-11.814,1,0.346,0.00758,0.111,0.386,144.047,152137,4
